Tanggal,BATA RINGAN
09/01/2023,1
09/02/2023,0
09/03/2023,0
09/04/2023,6
09/05/2023,7
09/06/2023,3
09/07/2023,1
09/08/2023,5
09/09/2023,1
09/10/2023,0
09/11/2023,4
09/12/2023,6
09/13/2023,3
09/14/2023,3
09/15/2023,2
09/16/2023,1
09/17/2023,0
09/18/2023,3
09/19/2023,7
09/20/2023,7
09/21/2023,7
09/22/2023,3
09/23/2023,1
09/24/2023,0
09/25/2023,1
09/26/2023,3
09/27/2023,0
09/28/2023,7
09/29/2023,7
09/30/2023,7
10/01/2023,0
10/02/2023,5
10/03/2023,3
10/04/2023,3
10/05/2023,3
10/06/2023,2
10/07/2023,0
10/08/2023,0
10/09/2023,7
10/10/2023,8
10/11/2023,0
10/12/2023,4
10/13/2023,4
10/14/2023,2
10/15/2023,3
10/16/2023,2
10/17/2023,1
10/18/2023,5
10/19/2023,4
10/20/2023,1
10/21/2023,0
10/22/2023,0
10/23/2023,3
10/24/2023,2
10/25/2023,2
10/26/2023,2
10/27/2023,1
10/28/2023,2
10/29/2023,0
10/30/2023,5
10/31/2023,4
11/01/2023,6
11/02/2023,2
11/03/2023,3
11/04/2023,0
11/05/2023,1
11/06/2023,3
11/07/2023,3
11/08/2023,4
11/09/2023,0
11/10/2023,4
11/11/2023,0
11/12/2023,0
11/13/2023,3
11/14/2023,1
11/15/2023,1
11/16/2023,2
11/17/2023,5
11/18/2023,0
11/19/2023,0
11/20/2023,2
11/21/2023,0
11/22/2023,1
11/23/2023,4
11/24/2023,3
11/25/2023,1
11/26/2023,2
11/27/2023,0
11/28/2023,1
11/29/2023,3
11/30/2023,6
12/01/2023,2
12/02/2023,2
12/03/2023,1
12/04/2023,8
12/05/2023,3
12/06/2023,5
12/07/2023,2
12/08/2023,4
12/09/2023,1
12/10/2023,0
12/11/2023,2
12/12/2023,5
12/13/2023,5
12/14/2023,1
12/15/2023,0
12/16/2023,2
12/17/2023,1
12/18/2023,4
12/19/2023,2
12/20/2023,6
12/21/2023,4
12/22/2023,3
12/23/2023,0
12/24/2023,3
12/25/2023,1
12/26/2023,3
12/27/2023,5
12/28/2023,3
12/29/2023,4
12/30/2023,1
12/31/2023,2
01/01/2024,4
01/02/2024,1
01/03/2024,1
01/04/2024,2
01/05/2024,1
01/06/2024,1
01/07/2024,1
01/08/2024,2
01/09/2024,3
01/10/2024,4
01/11/2024,2
01/12/2024,3
01/13/2024,6
01/14/2024,3
01/15/2024,1
01/16/2024,1
01/17/2024,2
01/18/2024,0
01/19/2024,0
01/20/2024,1
01/21/2024,0
01/22/2024,0
01/23/2024,1
01/24/2024,4
01/25/2024,2
01/26/2024,4
01/27/2024,4
01/28/2024,1
01/29/2024,5
01/30/2024,8
01/31/2024,3
02/01/2024,3
02/02/2024,2
02/03/2024,1
02/04/2024,0
02/05/2024,1
02/06/2024,2
02/07/2024,2
02/08/2024,4
02/09/2024,2
02/10/2024,4
02/11/2024,1
02/12/2024,5
02/13/2024,2
02/14/2024,1
02/15/2024,4
02/16/2024,2
02/17/2024,2
02/18/2024,0
02/19/2024,8
02/20/2024,8
02/21/2024,6
02/22/2024,3
02/23/2024,1
02/24/2024,1
02/25/2024,0
02/26/2024,0
02/27/2024,0
02/28/2024,4
02/29/2024,4
03/01/2024,2
03/02/2024,3
03/03/2024,1
03/04/2024,3
03/05/2024,4
03/06/2024,8
03/07/2024,10
03/08/2024,12
03/09/2024,4
03/10/2024,1
03/11/2024,1
03/12/2024,5
03/13/2024,6
03/14/2024,5
03/15/2024,3
03/16/2024,1
03/17/2024,1
03/18/2024,8
03/19/2024,7
03/20/2024,4
03/21/2024,5
03/22/2024,1
03/23/2024,0
03/24/2024,0
03/25/2024,4
03/26/2024,2
03/27/2024,4
03/28/2024,1
03/29/2024,4
03/30/2024,3
03/31/2024,2
